company,ipo,founding
"UNGERMANN-BASS, INC.",19830623,1979
AUTOMATED PROF. SYSTEM,19830624,1980
GENERAL HOMES CORP.,19830624,1973
MARGAUX CONTROLS,19830624,1977
VEGA BIOTECHNOLOGIES,19830624,1979
SMITH LABORATORIES,19830627,1979
MEDICAL 21 CORP.,19830628,1981
"1 POTATO 2, INC.",19830629,1977
APPLIED BIOSYSTEMS,19830629,1980
HALIFAX ENGINEERING,19830629,1967
AVANT-GARDE,19830630,1978
BOMED MEDICAL LTD.,19830630,1980
EL CHICO CORPORATION,19830630,1940
TERRANO CORP.,19830630,1977
"WICAT SYSTEMS, INC.",19830630,1980
CIPRICO INC.,19830701,1978
IMMUNEX CORPORATION,19830701,1981
MARQUEST MEDICAL,19830701,1979
REPUBLIC HEALTH,19830701,1981
RJ FINANCIAL CORP.,19830701,1962
MERRY-GO-ROUND INC.,19830706,1971
APPLIED COMMUNICATIONS,19830707,1975
CIRCON CORPORATION,19830707,1957
INTERACTIVE RADIATION,19830707,1973
IOMEGA CORPORATION,19830707,1980
STAAR SURGICAL CO.,19830707,1982
WILLIAMS-SONOMA,19830707,1956
CMC INTERNATIONAL,19830708,1979
TELEPHONE SUPPORT,19830708,1980
FOXMEYER CORPORATION,19830712,1977
INT'L MEDICAL SYSTEMS,19830712,1982
"INVENTION, DESIGN, ENGINEER",19830712,1979
"MICRO D., INC.",19830712,1979
NAT'L HEALTH CORP,19830712,1971
PERFECT DATA CORP.,19830712,1976
PETRIE CORPORATION,19830712,1974
"SATELCO, INC.",19830712,1980
BARON DATA SYSTEMS,19830713,1976
DIAGNON CORP,19830713,1981
"ILC TECHNOLOGY, INC.",19830713,1967
COMPTEK RESEARCH,19830714,1968
FAIRMONT FINANCIAL,19830714,1970
"ISOMEDIX, INC.",19830714,1972
RAX RESTAURANTS,19830714,1977
"KOLFF MEDICAL, INC.",19830715,1976
COMPUTRAC INC.,19830719,1977
HOWARD SAVINGS BANK,19830719,1901
INTEGRATED GENETICS,19830719,1981
LINEAR CORPORATION,19830719,1961
PACIFIC FIRST FEDERAL,19830719,1907
